1,16,18,19,20,21
2,14,15,17,20,21
3,13,17,18,19,21
4,12,16,17,19,20
5,11,15,18,19,20
6,12,15,16,18,21
7,13,14,16,18,20
8,11,14,16,19,21
9,10,13,19,20,21
10,9,17,18,20,21
11,14,15,17,18,19
12,13,15,16,17,21
13,11,12,13,20,21
14,9,12,15,19,21
15,10,12,14,18,21
16,10,11,16,17,18
17,8,14,19,20,21
18,10,15,16,19,20
19,13,15,17,18,20
20,7,16,17,20,21
21,9,13,16,18,19
22,8,11,17,19,21
23,9,14,17,19,20
24,8,15,18,20,21
25,7,12,18,19,20
26,12,13,14,15,19
27,9,11,16,20,21
28,12,14,16,17,21
29,7,13,14,18,21
30,6,10,17,19,21
31,10,11,14,17,20
32,8,16,17,18,20
33,7,15,16,19,21
34,10,11,15,18,21
35,6,14,18,20,21
36,11,12,17,18,19
37,9,14,15,16,20
38,8,13,17,19,20
39,8,16,18,19,21
40,10,12,15,17,20
41,6,15,19,20,21
42,5,17,18,19,21
43,11,13,16,17,19
44,9,10,13,14,21
45,5,12,16,20,21
46,9,10,18,19,20
47,6,15,16,17,18
48,10,12,14,16,19
49,11,12,14,18,20
50,4,17,18,20,21
51,6,13,16,19,20
52,7,8,12,17,21
53,7,11,19,20,21
54,9,12,13,17,18
55,10,13,15,18,19
56,11,14,15,17,21
57,11,13,15,16,20
58,4,14,18,19,21
59,8,10,13,16,21
60,9,15,17,19,20
61,9,11,13,18,21
62,7,14,16,17,19
63,5,13,15,20,21
64,14,15,16,18,21
65,9,10,16,20,21
66,7,10,14,18,20
67,3,17,18,19,21
68,8,11,13,14,18
69,7,12,16,18,20
70,8,11,15,16,19
71,5,13,14,19,20
72,6,11,12,17,20
73,3,12,13,19,21
74,10,13,14,17,20
75,6,16,18,19,21
76,7,9,12,20,21
77,8,12,15,18,20
78,4,16,19,20,21
79,10,15,17,19,21
80,2,17,18,20,21
81,8,9,16,17,18
82,6,8,13,15,21
83,7,15,17,19,20
84,5,16,17,18,20
85,5,10,11,20,21
86,6,12,14,18,19
87,7,9,11,18,21
88,9,13,16,19,20
89,7,10,15,18,21
90,8,10,13,17,21
91,10,11,12,13,20
92,5,9,14,19,21
93,5,12,15,16,17
94,2,15,16,19,21
95,4,5,18,19,20
96,6,10,11,12,21
97,6,14,17,20,21
98,12,13,16,18,21
99,4,7,17,18,19
100,7,8,9,13,15
101,7,8,11,17,20
102,3,16,18,20,21
103,5,8,9,12,20
104,5,10,16,18,19
105,7,11,13,15,19
106,8,12,13,17,19
107,1,17,18,19,21
108,9,10,14,15,16
109,1,2,3,14,18
110,1,5,6,11,16
111,1,6,8,12,14
