(6, 7, 12, 13, 14)
(4, 8, 9, 13, 18)
(5, 8, 10, 14, 15)
(5, 9, 11, 12, 16)
(3, 7, 11, 15, 17)
(4, 6, 10, 16, 17)
(1, 10, 11, 13, 19)
(2, 6, 9, 15, 19)
(2, 4, 11, 14, 20)
(1, 7, 8, 16, 20)
(3, 9, 10, 12, 20)
(2, 8, 12, 13, 17)
(2, 7, 10, 16, 18)
(3, 5, 6, 18, 19)
(1, 4, 12, 15, 18)
(4, 7, 9, 14, 19)
(1, 5, 14, 17, 18)
(3, 8, 11, 14, 16)
(5, 6, 11, 13, 20)
(3, 4, 13, 15, 16)
(1, 6, 9, 17, 20)
(5, 7, 8, 12, 19)
(6, 8, 10, 11, 18)
(2, 5, 7, 15, 20)
(2, 3, 10, 17, 19)
(1, 9, 13, 14, 15)
(1, 6, 12, 16, 19)
(2, 3, 12, 14, 18)
(5, 9, 10, 13, 17)
(3, 4, 8, 19, 20)
(2, 5, 13, 16, 19)
(4, 7, 11, 12, 17)
(1, 3, 13, 18, 20)
(2, 9, 11, 17, 18)
(4, 5, 11, 15, 19)
(6, 8, 9, 15, 16)
(4, 7, 10, 13, 20)
(1, 2, 15, 16, 17)
(2, 10, 11, 12, 15)
(3, 6, 13, 14, 17)
(3, 7, 9, 16, 18)
(1, 8, 9, 17, 19)
(1, 10, 12, 14, 20)
(2, 6, 8, 18, 20)
(4, 5, 14, 16, 18)
(5, 6, 12, 15, 17)
(7, 8, 11, 13, 15)
(1, 7, 11, 18, 19)
(3, 5, 9, 14, 20)
(7, 8, 10, 14, 17)
(6, 9, 10, 11, 14)
(4, 5, 8, 17, 20)
(1, 3, 14, 15, 19)
(4, 6, 7, 15, 18)
(2, 4, 12, 13, 19)
(3, 10, 12, 13, 16)
(2, 4, 9, 16, 20)
(3, 6, 10, 15, 20)
(2, 8, 11, 14, 19)
(1, 9, 10, 15, 18)
(3, 8, 12, 17, 18)
(5, 6, 7, 10, 19)
(1, 11, 13, 16, 17)
(3, 9, 11, 13, 19)
(4, 8, 12, 14, 15)
(2, 6, 7, 14, 16)
(1, 8, 11, 12, 20)
(4, 5, 10, 12, 18)
(1, 5, 10, 16, 20)
(2, 5, 13, 15, 18)
(3, 5, 7, 16, 17)
(4, 8, 10, 16, 19)
(2, 7, 9, 12, 20)
(2, 3, 11, 16, 20)
(3, 4, 10, 11, 18)
(1, 6, 13, 16, 18)
(2, 9, 10, 13, 14)
(5, 7, 8, 9, 18)
(1, 2, 5, 19, 20)
(4, 6, 11, 17, 19)
(3, 7, 12, 15, 19)
(4, 9, 14, 15, 17)
(4, 6, 12, 16, 20)
(5, 7, 11, 13, 14)
(1, 7, 10, 15, 17)
(6, 7, 8, 13, 19)
(1, 9, 12, 14, 16)
(2, 4, 7, 17, 18)
(6, 9, 11, 12, 18)
(3, 6, 7, 14, 20)
(1, 4, 13, 14, 19)
(8, 9, 10, 11, 20)
(3, 5, 12, 13, 15)
(1, 6, 11, 14, 15)
(2, 3, 8, 15, 18)
(2, 5, 12, 14, 17)
(7, 9, 10, 15, 16)
(6, 8, 10, 12, 13)
(1, 4, 9, 15, 20)
(1, 2, 10, 18, 19)
(5, 8, 11, 16, 17)
(3, 4, 9, 12, 17)
(1, 7, 12, 13, 18)
(2, 6, 10, 17, 20)
(2, 8, 13, 14, 20)
(5, 6, 9, 14, 19)
(2, 8, 9, 12, 16)
(3, 7, 10, 14, 18)
(6, 7, 9, 13, 17)
(1, 4, 11, 16, 18)
(1, 3, 11, 17, 20)
(1, 5, 8, 15, 19)
(4, 6, 8, 14, 18)
(4, 6, 10, 13, 15)
(2, 6, 7, 11, 16)
(3, 5, 10, 11, 19)
(3, 5, 8, 13, 20)
(5, 7, 12, 18, 20)
(2, 7, 13, 17, 19)
(3, 8, 9, 15, 17)
(3, 4, 14, 16, 19)
(4, 11, 12, 13, 16)
(1, 4, 10, 12, 17)
(2, 7, 14, 15, 16)
(4, 6, 9, 19, 20)
(3, 5, 15, 16, 18)
(1, 8, 10, 13, 16)
(5, 8, 9, 12, 14)
(1, 5, 7, 9, 19)
(1, 2, 13, 15, 20)
(2, 4, 8, 15, 17)
(2, 5, 11, 13, 18)
(3, 6, 10, 16, 17)
(3, 11, 12, 14, 15)
(1, 4, 7, 14, 17)
(8, 9, 10, 12, 19)
(1, 8, 14, 18, 20)
(5, 6, 9, 13, 16)
(2, 3, 6, 12, 19)
(2, 4, 10, 11, 14)
(3, 4, 5, 17, 19)
(6, 7, 8, 11, 12)
(1, 7, 11, 12, 19)
(4, 5, 7, 15, 16)
(7, 9, 10, 11, 20)
(1, 6, 8, 17, 19)
(4, 5, 10, 18, 20)
(3, 6, 13, 17, 18)
(1, 3, 15, 16, 19)
(3, 4, 8, 13, 14)
(2, 3, 9, 17, 20)
(2, 5, 8, 12, 18)
(6, 10, 12, 14, 16)
(5, 12, 13, 19, 20)
(2, 4, 7, 18, 19)
(2, 6, 14, 17, 18)
(3, 9, 14, 15, 18)
(7, 8, 9, 12, 16)
(7, 10, 15, 19, 20)
(9, 11, 13, 15, 17)
(2, 12, 15, 16, 20)
(3, 8, 10, 13, 19)
(4, 8, 10, 11, 20)
(5, 6, 11, 15, 18)
(1, 3, 10, 14, 16)
(7, 8, 13, 17, 20)
(1, 2, 9, 11, 14)
(1, 4, 5, 9, 18)
(2, 7, 10, 12, 18)
(3, 5, 8, 16, 20)
(4, 5, 12, 14, 20)
(7, 9, 12, 15, 20)
(2, 5, 10, 11, 16)
(6, 9, 10, 14, 18)
(7, 8, 11, 17, 18)
(1, 3, 12, 17, 18)
(1, 4, 8, 13, 15)
(3, 10, 11, 12, 20)
(1, 4, 9, 15, 19)
(1, 5, 7, 11, 14)
(2, 3, 4, 14, 17)
(2, 3, 6, 8, 19)
(3, 7, 9, 11, 17)
(4, 8, 11, 13, 18)
(1, 2, 6, 7, 10)
